City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,5.41,4.24,35,1.64,RU,1688644249
1,bethel,41.3712,-73.414,26.34,24.43,0,0.0,US,1688644198
2,adamstown,-25.066,-130.1015,20.52,20.64,70,4.9,PN,1688644251
3,port mathurin,-19.6833,63.4167,24.04,24.33,19,8.46,MU,1688644253
4,mana,5.6592,-53.7767,24.46,25.36,100,3.77,GF,1688644254
5,blackmans bay,-43.0167,147.3167,10.07,6.53,100,2.87,AU,1688644255
6,edinburgh of the seven seas,-37.0676,-12.3116,10.24,8.78,79,13.61,SH,1688644256
7,vorgashor,67.5833,63.95,14.63,14.42,100,6.38,RU,1688644258
8,iskateley,67.6803,53.1512,16.39,16.02,89,4.79,RU,1688644259
9,lebu,-37.6167,-73.65,8.55,8.17,100,1.35,CL,1688644261
10,port elizabeth,-33.918,25.5701,23.39,18.45,0,6.17,ZA,1688644252
11,puerto natales,-51.7236,-72.4875,-0.69,-0.69,91,0.73,CL,1688644263
12,saint croix,17.7397,-64.7388,28.86,33.74,100,4.12,VI,1688644264
13,vadso,70.0744,29.7487,10.49,9.14,75,11.32,NO,1688644265
14,udachny,66.4167,112.4,22.77,22.28,68,5.75,RU,1688644266
15,negombo,7.2083,79.8358,29.03,33.57,20,4.12,LK,1688644267
16,anadyr,64.75,177.4833,11.28,9.79,100,4.0,RU,1688644268
17,phalaborwa,-23.943,31.1411,24.6,24.08,28,1.07,ZA,1688644271
18,olonkinbyen,70.9221,-8.7187,5.58,4.79,96,1.36,SJ,1688644272
19,thompson,55.7435,-97.8558,12.09,11.97,100,0.0,CA,1688644273
20,sechura,-5.5569,-80.8222,20.52,20.95,7,3.46,PE,1688644274
21,xilin hot,43.9667,116.0333,20.41,19.76,81,5.02,CN,1688644275
22,invercargill,-46.4,168.35,0.01,0.01,54,0.89,NZ,1688643844
23,grytviken,-54.2811,-36.5092,1.81,-5.07,93,11.51,GS,1688644277
24,knyaze-volkonskoye,48.4642,135.4567,19.19,18.84,99,3.52,RU,1688644279
25,altay,47.8667,88.1167,25.42,24.88,24,5.32,CN,1688644280
26,kapa'a,22.0752,-159.319,26.18,24.63,100,6.17,US,1688644281
27,isafjordur,66.0755,-23.124,7.02,3.21,100,6.69,IS,1688644282
28,djibouti,11.5,42.5,40.42,38.03,59,2.91,DJ,1688644284
29,igrim,63.1906,64.4162,26.44,26.44,75,4.54,RU,1688644285
30,ushuaia,-54.8,-68.3,1.81,-4.57,40,9.77,AR,1688644288
31,yellowknife,62.456,-114.3525,10.29,9.49,40,2.06,CA,1688644249
32,punta arenas,-53.15,-70.9167,2.01,-4.62,0,4.63,CL,1688644116
33,mermoz boabab,14.7065,-17.4758,30.31,33.0,40,3.09,SN,1688644291
34,waitangi,-43.9535,-176.5597,9.88,5.5,32,12.93,NZ,1688644292
35,piatykhatky,48.4133,33.7106,33.99,32.94,43,3.89,UA,1688644294
36,kidal,18.4411,1.4078,40.39,38.74,9,3.92,ML,1688644296
37,talnakh,69.4865,88.3972,18.45,17.84,89,5.75,RU,1688644297
38,cowra,-33.8333,148.6833,6.04,4.12,77,2.51,AU,1688644298
39,ribeira grande,38.5167,-28.7,23.22,23.5,40,7.2,PT,1688644300
40,iqaluit,63.7506,-68.5145,4.85,1.06,100,5.14,CA,1688644301
41,carnarvon,-24.8667,113.6333,17.35,16.68,0,6.56,AU,1688644302
42,menongue,-14.6585,17.691,25.71,24.81,0,4.86,AO,1688644303
43,konarka,19.9,86.1167,29.22,33.41,80,6.97,IN,1688644304
44,swakopmund,-22.6833,14.5333,23.88,23.32,34,2.24,NA,1688644306
45,port-aux-francais,-49.35,70.2167,3.89,-2.57,98,12.76,TF,1688644307
46,kingston,17.997,-76.7936,29.53,29.09,40,6.69,JM,1688644174
47,shakargarh,32.2623,75.1668,36.29,39.73,19,2.71,PK,1688644309
48,pangkalanbuun,-2.6833,111.6167,25.01,25.89,63,1.34,ID,1688644310
49,nantucket,41.2835,-70.0995,23.03,21.95,0,3.12,US,1688644312
50,tsengel,49.4783,100.8894,12.77,12.56,100,1.93,MN,1688644313
51,hamilton,39.1834,-84.5333,24.31,23.5,40,2.57,US,1688644044
52,holualoa,19.6228,-155.9522,21.91,21.69,0,4.12,US,1688644316
53,avarua,-21.2078,-159.775,23.03,24.0,100,1.03,CK,1688644317
54,nadi,-17.8,177.4167,22.0,22.42,20,3.09,FJ,1688644318
55,bridgewater,44.3835,-64.5155,20.35,19.37,1,3.09,CA,1688644320
56,princeville,45.7668,-61.2985,17.73,15.96,100,5.66,CA,1688644321
57,port-vila,-17.7338,168.3219,22.78,23.41,75,2.57,VU,1688644322
58,polyarnyy,69.1989,33.4478,8.73,4.93,100,8.33,RU,1688644323
59,papao,-17.75,-149.55,23.82,24.37,10,10.68,PF,1688644324
60,lorengau,-2.0226,147.2712,26.87,29.99,60,3.24,PG,1688644325
61,komyshuvakha,47.7176,35.5288,35.57,34.48,39,6.04,UA,1688644326
62,portland,45.5234,-122.6762,19.78,16.64,0,1.34,US,1688643766
63,phan rang-thap cham,11.5667,108.9833,26.79,29.53,50,1.69,VN,1688644329
64,dakhla,23.6848,-15.958,24.01,24.5,75,12.35,EH,1688644330
65,klyuchi,52.2667,79.1667,24.0,23.79,56,6.51,RU,1688644335
66,orsa,54.5153,30.4053,17.72,18.05,100,1.51,BY,1688644342
67,zaltan,32.947,11.8665,32.89,32.31,0,4.84,LY,1688644344
68,jejuri,18.2833,74.1667,23.8,24.3,92,6.43,IN,1688644257
69,guerrero negro,27.9769,-114.0611,16.11,16.2,2,3.79,MX,1688644321
70,chibougamau,49.9168,-74.3659,20.79,20.96,75,0.0,CA,1688644174
71,georgetown,5.4112,100.3354,31.96,36.8,20,3.6,MY,1688644199
72,burang,30.25,81.1667,8.52,7.06,100,2.51,CN,1688644351
73,aasiaat,68.7098,-52.8699,2.7,-0.8,100,3.74,GL,1688644352
74,kodinsk,58.6881,99.1844,25.03,25.0,53,1.67,RU,1688644353
75,lihue,21.9789,-159.3672,25.77,24.74,100,6.17,US,1688644355
76,pierre,44.3683,-100.351,12.14,11.55,0,3.13,US,1688644235
77,khandyga,62.6667,135.6,19.27,18.79,21,1.8,RU,1688644357
78,badger,64.8,-147.5333,14.17,11.84,0,2.06,US,1688644079
79,bargaal,11.2864,51.0773,36.55,38.51,62,8.95,SO,1688644360
80,lompoc,34.6391,-120.4579,14.32,13.28,100,2.57,US,1688643798
81,albany,42.6001,-73.9662,24.34,22.94,8,0.3,US,1688644240
82,wanning,18.8003,110.3967,28.26,32.93,5,4.42,CN,1688644364
